年月日,时分秒,纬度,经度,深度,震级,震中参考地名
2013/10/31,57:39.,39.67,116.76,6,1,北京通州
2013/11/15,57:51.,39.93,115.62,7,3.1,北京门头沟
2013/11/19,47:40.,40.11,116.32,5,1.3,北京昌平
2013/11/22,39:29.,40.04,116.29,6,1,北京海淀
2013/12/10,05:15.,40.09,115.61,6,1.2,北京门头沟
2013/12/10,26:09.,40.07,117.01,6,1.1,北京平谷
2013/12/11,54:29.,40.07,117.01,6,1.3,北京平谷
2013/12/18,37:25.,40.38,116.02,6,1.1,北京延庆
2013/12/26,48:38.,39.99,116.61,9,1.2,北京朝阳
2013/12/29,04:41.,39.91,115.78,0,3,北京房山
2014/1/4,14:34.,40.03,116.23,6,1.1,北京海淀
2014/1/7,04:26.,40.18,117.34,6,1.2,北京平谷
2014/1/15,26:31.,40.26,116.43,7,1.1,北京昌平
2014/1/17,48:37.,40.07,116.17,6,1.5,北京海淀
2014/1/18,43:24.,39.75,116.7,4,2.8,北京通州
2014/1/18,39:28.,39.76,116.72,5,1.7,北京通州
2014/1/31,42:14.,40.07,116.59,9,1.2,北京顺义
2014/2/14,40:09.,40.42,116.48,7,1.2,北京怀柔
2014/2/14,54:39.,40.32,116.71,5,1.1,北京怀柔
2014/2/16,10:54.,40.22,116.67,8,1.2,北京顺义
2014/2/23,06:42.,40.13,116.51,5,1.2,北京顺义
2014/3/2,48:30.,40.59,116.42,5,1.1,北京延庆
2014/3/10,48:07.,39.73,116.73,6,2.2,北京通州
2014/3/10,55:54.,39.72,116.72,6,1,北京通州
2014/3/13,57:57.,39.74,116.75,5,1.5,北京通州
2014/3/14,16:18.,40.03,115.91,7,3.4,北京门头沟
2014/3/21,57:18.,40.04,115.94,6,1.3,北京门头沟
2014/3/22,02:23.,40.03,115.93,8,1.3,北京门头沟
2014/3/23,56:37.,40.11,115.65,6,1.5,北京门头沟
2014/3/28,09:22.,40.27,116.5,6,1.7,北京怀柔
2014/3/29,18:49.,40.41,115.99,7,1.8,北京延庆
2014/4/4,27:40.,39.76,116.78,5,1.4,北京通州
2014/4/5,10:16.,39.81,115.52,14,1.2,北京房山
2014/4/17,41:38.,39.83,116.78,6,1.9,北京通州
2014/4/25,00:18.,40.05,116.62,6,1.4,北京顺义
2014/4/29,39:31.,40.43,116.3,8,1.4,北京怀柔
2014/5/2,23:16.,40.52,116.47,6,2.3,北京怀柔
2014/5/2,28:19.,40.52,116.47,6,1.8,北京怀柔
2014/5/6,07:09.,40.07,117.06,5,1.2,北京平谷
2014/5/8,25:38.,39.69,115.86,6,1.3,北京房山
2014/5/8,20:12.,40.05,116.35,6,1.4,北京海淀
2014/5/20,04:38.,40.2,117.35,5,2.2,北京平谷
2014/5/28,39:12.,40.12,116.55,6,1,北京顺义
2014/6/11,59:07.,40.17,116.51,5,2.2,北京顺义
2014/6/11,59:10.,40.15,116.51,6,2.4,北京顺义
2014/6/11,00:27.,40.14,116.52,5,1.5,北京顺义
2014/6/17,01:21.,39.91,115.77,0,2.9,北京房山
2014/6/27,52:12.,40.03,116.34,5,1.1,北京海淀
2014/7/1,10:03.,40.42,116.53,6,1.1,北京怀柔
2014/7/24,21:10.,40.47,116.57,8,1.8,北京怀柔
